0.024	0.03	0.098	0.098	0.165	0.195	0.195	0.14	0.043	0.012
0.015	0.026	0.062	0.124	0.144	0.17	0.17	0.222	0.062	0.005
0	0.013	0.045	0.108	0.112	0.175	0.188	0.224	0.117	0.018
0.008	0.023	0.054	0.066	0.093	0.125	0.191	0.253	0.183	0.004
0.006	0.022	0.061	0.033	0.067	0.083	0.139	0.222	0.322	0.044
0	0.046	0.091	0.091	0.046	0.046	0.136	0.091	0.273	0.182
0.25	0.179	0.107	0.107	0.143	0.071	0.107	0.036	0	0
0.133	0.022	0.089	0.111	0.156	0.178	0.111	0.133	0.067	0
0.064	0.048	0.143	0.048	0.175	0.143	0.206	0.095	0.079	0
0	0.022	0.078	0.111	0.156	0.156	0.244	0.167	0.044	0.022
0.016	0.027	0.037	0.069	0.16	0.219	0.23	0.16	0.075	0.005
0.013	0.025	0.03	0.093	0.144	0.202	0.215	0.219	0.055	0.004
0.006	0.041	0.035	0.064	0.09	0.18	0.337	0.192	0.049	0.006
0.012	0.021	0.029	0.035	0.132	0.123	0.184	0.371	0.082	0.012
0.008	0.016	0.016	0.024	0.071	0.103	0.159	0.27	0.309	0.024
0	0	0	0	0.059	0	0.059	0.294	0.412	0.176
0.217	0.087	0	0.174	0.13	0.087	0.087	0.13	0.087	0
0.026	0.079	0.132	0.079	0.026	0.158	0.158	0.132	0.158	0.053
0.02	0.02	0.02	0.04	0.16	0.18	0.16	0.2	0.1	0.1
0.025	0.013	0.038	0.076	0.076	0.139	0.139	0.266	0.215	0.013
0.03	0.03	0.05	0.02	0.091	0.131	0.162	0.283	0.131	0.071
0.006	0.006	0.013	0.057	0.057	0.121	0.204	0.287	0.185	0.064
0.004	0.026	0.037	0.03	0.093	0.107	0.193	0.307	0.167	0.037
0.011	0.009	0.014	0.042	0.041	0.071	0.152	0.418	0.203	0.041
0.012	0.022	0.022	0.038	0.019	0.05	0.113	0.281	0.36	0.084
0.008	0.024	0.039	0.039	0.063	0.039	0.118	0.118	0.284	0.268
0.067	0.133	0.133	0.067	0.067	0.2	0.133	0.133	0.067	0
0.118	0.059	0.059	0.059	0.059	0.118	0.118	0.235	0.118	0.059
0	0.024	0.024	0.049	0.146	0.073	0.195	0.244	0.195	0.049
0.026	0	0.026	0.026	0.053	0.184	0.263	0.184	0.237	0
0.014	0	0.042	0.056	0.069	0.097	0.139	0.306	0.278	0
0.009	0.009	0.052	0.069	0.052	0.112	0.215	0.285	0.138	0.06
0.009	0.009	0.026	0.017	0.094	0.099	0.232	0.283	0.21	0.021
0.01	0.014	0.016	0.019	0.027	0.062	0.163	0.467	0.202	0.019
0.004	0.007	0.031	0.017	0.033	0.05	0.086	0.252	0.469	0.05
0	0	0.015	0.046	0.031	0.046	0.077	0.123	0.446	0.215
0	0	0	0	0	0	0	0	1	0
0	0	0	0	0	0	0	0	1	0
0	0	0	0	0	0	0.25	0.25	0.5	0
0	0	0	0	0.25	0	0	0.375	0.25	0.125
0	0	0	0.083	0	0.167	0.167	0.25	0.333	0
0	0	0.042	0.042	0.042	0.083	0.083	0.292	0.292	0.125
0	0	0.032	0	0	0.032	0.129	0.387	0.355	0.065
0	0	0	0.038	0.038	0.075	0.047	0.34	0.415	0.047
0.004	0.004	0.007	0.007	0.011	0.03	0.052	0.141	0.654	0.089
0	0	0	0	0.061	0.061	0.03	0.03	0.349	0.47
0	0	0	0	0	0	0	0	1	0
0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
0	0	0	0.25	0	0	0	0.5	0.25	0
0	0	0.143	0.143	0	0.143	0.143	0.429	0	0
0	0	0	0.2	0	0	0.2	0.4	0.2	0
0	0	0	0	0	0	0.222	0.444	0.333	0
0	0	0	0	0.08	0.08	0.08	0.48	0.24	0.04
0	0	0.027	0.009	0.027	0.018	0.135	0.523	0.252	0.009
0	0	0	0.022	0	0.043	0.043	0.326	0.511	0.054
0	0	0	0.143	0	0	0	0.143	0.714	0
